"Variable","Top_Quartile_Sleepers","Other_Participants","Difference"
"Sleep quality",8.68,7.13,1.55
"Sleep duration",709.36,433.52,275.84
"Actigraphy sleep efficiency",83.61,81.33,2.28
"Caffeine use proportion",0.07,0.27,-0.2
"Device minutes",79.89,92.23,-12.34
"Social media minutes",136.64,118.39,18.24
"Physical activity minutes",69,80.5,-11.5
"Anxiety rating",9.44,8.38,1.06
"Trouble sleeping proportion",1.04,1.59,-0.55
"Sleep onset variability",6.87,6.78,0.09
"Light problem proportion",0.55,0.46,0.08
